N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Max_cut_value,Edges
10,2,0.4343492042766499,0.5276381909547738,2,12,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 5), (4, 6), (5, 7), (6, 8), (6, 9), (7, 8), (7, 9), (8, 9)]"
10,4,0.6202332177120828,0.5175879396984925,4,12,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 8), (7, 9), (8, 9)]"
10,6,0.6390695311371646,0.44221105527638194,2,13,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (7, 9), (8, 9)]"
10,1,0.6409976277655645,0.4371859296482412,2,13,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 4), (4, 5), (5, 6), (5, 7), (6, 8), (6, 9), (7, 8), (7, 9), (8, 9)]"
10,12,0.7264525195530149,0.5226130653266332,4,12,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 9), (6, 8), (7, 9), (8, 9)]"
10,18,0.7558653171060108,0.45226130653266333,4,13,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 9)]"
10,3,0.8123253869791638,0.4120603015075377,2,13,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (7, 9), (8, 9)]"
10,9,0.8477263128040704,0.457286432160804,2,13,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (7, 9), (8, 9)]"
10,10,0.8958884436662293,0.592964824120603,6,12,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 6), (5, 9), (7, 8), (7, 9), (8, 9)]"
10,7,0.9679651052139464,0.4020100502512563,4,13,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 8), (7, 9), (8, 9)]"
10,14,0.9822899434057808,0.32160804020100503,2,15,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 5), (3, 6), (3, 7), (4, 8), (5, 9), (6, 8), (6, 9), (7, 8), (7, 9)]"
10,13,0.9843905006032827,0.4472361809045226,4,13,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 9), (6, 9), (7, 8), (8, 9)]"
10,17,1.0189740403171568,0.35175879396984927,2,15,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 8), (6, 9), (7, 8), (7, 9)]"
10,11,1.0799780341841192,0.4271356783919598,6,13,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 8), (6, 9), (7, 9), (8, 9)]"
10,16,1.087761410162118,0.45226130653266333,6,13,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 7), (6, 9), (7, 8), (8, 9)]"
10,8,1.243936750627232,0.45226130653266333,6,13,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 8), (7, 9)]"
10,19,1.245366927383178,0.6231155778894473,10,12,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (3, 9), (4, 6), (4, 8), (5, 7), (5, 9), (6, 9), (7, 8)]"
10,5,1.4321869811763923,0.4321608040201005,8,13,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 8), (7, 9)]"
10,15,1.4969129213396393,0.4221105527638191,10,13,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 7), (6, 8), (7, 9), (8, 9)]"
