N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Optimal_cut,p1_expected_cut,p1_approx_ratio,p1_most_prob_cut,p1_most_prob_prob,p1_iterations,p1_time,p2_expected_cut,p2_approx_ratio,p2_most_prob_cut,p2_most_prob_prob,p2_iterations,p2_time,p3_expected_cut,p3_approx_ratio,p3_most_prob_cut,p3_most_prob_prob,p3_iterations,p3_time,p4_expected_cut,p4_approx_ratio,p4_most_prob_cut,p4_most_prob_prob,p4_iterations,p4_time,p5_expected_cut,p5_approx_ratio,p5_most_prob_cut,p5_most_prob_prob,p5_iterations,p5_time,p6_expected_cut,p6_approx_ratio,p6_most_prob_cut,p6_most_prob_prob,p6_iterations,p6_time,p7_expected_cut,p7_approx_ratio,p7_most_prob_cut,p7_most_prob_prob,p7_iterations,p7_time,p8_expected_cut,p8_approx_ratio,p8_most_prob_cut,p8_most_prob_prob,p8_iterations,p8_time,p9_expected_cut,p9_approx_ratio,p9_most_prob_cut,p9_most_prob_prob,p9_iterations,p9_time,p10_expected_cut,p10_approx_ratio,p10_most_prob_cut,p10_most_prob_prob,p10_iterations,p10_time
12,21,0.4668603134119591,0.5263157894736842,4,15,12.157999999999959,0.8105333333333306,15,0.008,30,0.46303415298461914,12.904299999999994,0.8602866666666663,15,0.0245,60,0.878248929977417,13.36589999999999,0.8910599999999993,15,0.0359,75,1.0923240184783936,13.17519999999998,0.8783466666666654,15,0.0308,120,1.820854663848877,13.17479999999997,0.878319999999998,15,0.0315,94,1.4891886711120605,13.483999999999984,0.8989333333333323,15,0.0426,119,1.8682880401611328,13.24629999999997,0.8830866666666647,15,0.0259,161,2.629423141479492,13.374699999999981,0.8916466666666654,15,0.0296,205,3.4698970317840576,14.003899999999986,0.9335933333333324,15,0.0781,194,3.2033989429473877,13.637799999999988,0.9091866666666658,15,0.0449,339,5.830704927444458
12,24,0.5401767684096717,0.4736842105263157,4,15,12.03529999999995,0.80235333333333,15,0.0066,35,0.5327069759368896,12.85479999999997,0.8569866666666647,15,0.0263,41,0.6209321022033691,13.32929999999998,0.8886199999999987,15,0.0383,69,1.0108520984649658,13.725599999999995,0.9150399999999996,15,0.0509,134,1.9591131210327148,13.028099999999991,0.8685399999999994,15,0.0273,126,1.9549932479858398,13.401399999999981,0.8934266666666654,15,0.0479,119,1.8451552391052246,14.173399999999996,0.944893333333333,15,0.0946,247,3.7661828994750977,13.199399999999986,0.8799599999999991,15,0.0359,213,3.7231149673461914,13.261199999999967,0.8840799999999978,15,0.0433,151,2.631951093673706,13.464299999999975,0.8976199999999983,15,0.0511,309,5.461637258529663
12,48,0.5628004884139575,0.4736842105263157,4,15,12.329699999999958,0.8219799999999972,15,0.01,28,0.43708109855651855,13.010299999999988,0.8673533333333325,15,0.0204,73,1.054215908050537,10.868299999999975,0.7245533333333316,14,0.0044,67,1.1144120693206787,13.973799999999997,0.9315866666666665,15,0.0611,102,1.5049920082092285,13.60989999999998,0.9073266666666654,15,0.0388,124,1.8762550354003906,13.4997,0.89998,15,0.0349,110,1.7117969989776611,12.960599999999987,0.8640399999999991,15,0.0144,176,2.9806928634643555,13.853999999999994,0.9235999999999996,15,0.0561,201,3.2751078605651855,13.766699999999974,0.9177799999999983,15,0.0491,246,4.177904844284058,13.832999999999997,0.9221999999999998,15,0.0517,333,5.684946060180664
12,41,0.6033585780618926,0.5263157894736842,4,15,12.175499999999957,0.8116999999999971,15,0.0084,33,0.5075619220733643,12.913099999999961,0.8608733333333307,15,0.0243,42,0.6451199054718018,13.241199999999973,0.8827466666666648,15,0.033,72,1.0575718879699707,13.968500000000002,0.9312333333333335,15,0.0807,91,1.3408958911895752,13.462399999999986,0.8974933333333325,15,0.0391,118,1.832709789276123,13.498099999999992,0.8998733333333327,15,0.037,103,1.6223418712615967,13.457699999999988,0.8971799999999992,15,0.0381,165,2.7069902420043945,13.397199999999994,0.8931466666666663,15,0.0296,225,3.7745587825775146,13.578199999999983,0.9052133333333322,15,0.0442,172,2.9527318477630615,13.54019999999999,0.9026799999999994,15,0.037,271,4.829360008239746
12,35,0.6266039834516297,0.5263157894736842,4,15,12.161299999999986,0.8107533333333324,15,0.0081,28,0.43610215187072754,12.617199999999977,0.8411466666666652,15,0.0146,44,0.6652541160583496,13.04569999999998,0.869713333333332,15,0.0276,77,1.154184103012085,13.618199999999971,0.9078799999999981,15,0.047,135,1.985576868057251,13.228699999999973,0.8819133333333316,15,0.0368,113,1.763124942779541,13.49129999999999,0.8994199999999993,15,0.0459,118,1.8280868530273438,13.539399999999999,0.9026266666666666,15,0.0402,151,2.3948349952697754,13.225499999999984,0.8816999999999989,15,0.0336,202,3.4007179737091064,13.462699999999964,0.8975133333333309,15,0.0337,269,4.553557872772217,10.307499999999964,0.6871666666666643,15,0.0041,149,2.901183843612671
12,56,0.642793683624066,0.4736842105263157,4,15,12.210999999999958,0.8140666666666638,15,0.009,36,0.5494940280914307,12.60959999999995,0.8406399999999967,15,0.0139,50,0.7626068592071533,12.907399999999985,0.8604933333333323,15,0.0214,90,1.3622279167175293,12.709699999999978,0.8473133333333319,15,0.0129,116,1.796447992324829,13.484599999999993,0.8989733333333328,15,0.0477,131,2.0563368797302246,13.481599999999979,0.898773333333332,15,0.043,131,2.0375959873199463,13.734399999999985,0.9156266666666657,15,0.0535,175,2.7516860961914062,13.22849999999999,0.8818999999999994,15,0.0281,153,2.5977683067321777,13.783399999999983,0.9188933333333321,15,0.0542,215,3.63926100730896,13.613899999999992,0.9075933333333328,15,0.0434,281,4.886451005935669
12,46,0.6546289003738872,0.5263157894736842,4,15,12.163499999999978,0.8108999999999985,15,0.0087,32,0.49048519134521484,12.795799999999977,0.8530533333333318,15,0.0212,66,0.9767210483551025,13.087999999999962,0.8725333333333308,15,0.0319,84,1.2641358375549316,13.319399999999991,0.8879599999999994,15,0.0348,127,1.9139890670776367,13.487299999999992,0.8991533333333328,15,0.0521,95,1.4775147438049316,13.459499999999982,0.8972999999999989,15,0.0411,120,1.8557641506195068,13.254799999999992,0.8836533333333328,15,0.0283,146,2.376678943634033,13.292199999999992,0.8861466666666662,15,0.0261,224,3.7286150455474854,13.480199999999968,0.8986799999999978,15,0.0334,205,3.4842653274536133,13.339899999999982,0.8893266666666655,15,0.0235,325,5.890948057174683
12,11,0.6858811184532438,0.5263157894736842,4,15,12.029099999999968,0.8019399999999979,15,0.0073,37,0.5664610862731934,12.746199999999988,0.8497466666666659,15,0.0236,46,0.6906700134277344,13.309399999999997,0.8872933333333332,15,0.0446,90,1.3062520027160645,13.347699999999966,0.8898466666666643,15,0.0419,121,1.8228120803833008,13.632799999999982,0.9088533333333321,15,0.0644,152,2.3341338634490967,13.396999999999991,0.8931333333333328,15,0.04,115,1.797882080078125,13.717299999999982,0.9144866666666654,15,0.0548,216,3.630931854248047,13.06419999999998,0.8709466666666653,15,0.0298,141,2.482922077178955,13.314000000000002,0.8876000000000002,15,0.0383,190,3.353483200073242,13.232199999999976,0.8821466666666651,15,0.0392,323,5.886768102645874
12,37,0.7121235752156778,0.4736842105263157,4,15,12.019699999999961,0.8013133333333308,15,0.007,29,0.4773118495941162,12.459999999999967,0.8306666666666644,15,0.0136,58,0.9014127254486084,13.03339999999998,0.8688933333333321,15,0.0341,73,1.1324970722198486,12.63189999999998,0.8421266666666654,15,0.018,91,1.497730016708374,12.93659999999998,0.8624399999999988,15,0.0243,105,1.746906042098999,13.490899999999987,0.8993933333333325,15,0.0544,122,1.9774198532104492,13.326199999999957,0.8884133333333305,15,0.0424,158,2.6564671993255615,13.207299999999975,0.880486666666665,15,0.036,206,3.580259084701538,13.407499999999976,0.8938333333333317,15,0.0522,201,3.5261847972869873,13.806299999999991,0.9204199999999995,15,0.0715,245,4.280079126358032
12,70,0.7462497637976888,0.4736842105263157,4,16,12.487999999999953,0.7804999999999971,16,0.0127,28,0.4369511604309082,13.244999999999996,0.8278124999999997,16,0.0244,42,0.6287078857421875,14.126299999999992,0.8828937499999995,16,0.0478,73,1.0821797847747803,14.549999999999985,0.909374999999999,16,0.0773,127,1.856477975845337,13.835999999999997,0.8647499999999998,16,0.0406,126,1.9487221240997314,14.240499999999997,0.8900312499999998,16,0.0569,103,1.6113710403442383,13.878399999999985,0.8673999999999991,16,0.0404,135,2.2395670413970947,13.9163,0.86976875,16,0.0442,181,3.071063995361328,14.710400000000002,0.9194000000000001,16,0.0872,215,3.5410468578338623,14.60619999999999,0.9128874999999994,16,0.0755,299,5.230201005935669
