N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Optimal_cut,p1_expected_cut,p1_approx_ratio,p1_most_prob_cut,p1_most_prob_prob,p1_iterations,p1_time,p2_expected_cut,p2_approx_ratio,p2_most_prob_cut,p2_most_prob_prob,p2_iterations,p2_time,p3_expected_cut,p3_approx_ratio,p3_most_prob_cut,p3_most_prob_prob,p3_iterations,p3_time,p4_expected_cut,p4_approx_ratio,p4_most_prob_cut,p4_most_prob_prob,p4_iterations,p4_time,p5_expected_cut,p5_approx_ratio,p5_most_prob_cut,p5_most_prob_prob,p5_iterations,p5_time,p6_expected_cut,p6_approx_ratio,p6_most_prob_cut,p6_most_prob_prob,p6_iterations,p6_time,p7_expected_cut,p7_approx_ratio,p7_most_prob_cut,p7_most_prob_prob,p7_iterations,p7_time,p8_expected_cut,p8_approx_ratio,p8_most_prob_cut,p8_most_prob_prob,p8_iterations,p8_time,p9_expected_cut,p9_approx_ratio,p9_most_prob_cut,p9_most_prob_prob,p9_iterations,p9_time,p10_expected_cut,p10_approx_ratio,p10_most_prob_cut,p10_most_prob_prob,p10_iterations,p10_time
12,18,0.3626392243729324,0.5263157894736842,2,15,12.037399999999968,0.8024933333333312,15,0.0072,40,0.6510322093963623,12.998299999999992,0.8665533333333327,15,0.0304,59,0.8645350933074951,13.207500000000001,0.8805000000000001,15,0.0325,53,0.7937381267547607,13.670599999999984,0.9113733333333323,15,0.0614,89,1.513580083847046,13.089300000000003,0.8726200000000002,15,0.031,79,1.3198442459106445,13.122399999999985,0.8748266666666656,15,0.0274,124,2.074368953704834,13.790999999999995,0.9193999999999997,15,0.0817,148,7.559638977050781,14.056400000000005,0.9370933333333337,15,0.1149,255,11.727150201797485,14.056800000000004,0.9371200000000003,15,0.1149,115,11.293275833129883,14.051300000000007,0.9367533333333338,15,0.1046,191,12.427380800247192
12,6,0.3847549489337361,0.5263157894736842,2,15,12.018699999999967,0.8012466666666644,15,0.0079,34,0.5627491474151611,13.06589999999998,0.8710599999999986,15,0.0287,50,0.778270959854126,13.28889999999998,0.8859266666666653,15,0.0321,60,0.9560902118682861,13.681199999999981,0.9120799999999988,15,0.054,82,1.2611582279205322,13.234299999999987,0.8822866666666658,15,0.0302,82,1.3486769199371338,13.308099999999977,0.8872066666666651,15,0.0366,103,1.7344701290130615,13.8922,0.9261466666666667,15,0.0882,179,7.237639904022217,13.917699999999984,0.9278466666666656,15,0.0784,227,9.539249897003174,14.016499999999995,0.934433333333333,15,0.0937,178,10.967884063720703,14.046999999999997,0.9364666666666664,15,0.0981,242,15.04520320892334
12,45,0.4414443375224568,0.4736842105263157,2,15,12.16959999999996,0.811306666666664,15,0.0072,31,0.5160119533538818,13.12529999999997,0.875019999999998,15,0.0284,49,0.7619450092315674,13.163199999999984,0.8775466666666656,15,0.0298,54,0.8452720642089844,13.721799999999995,0.9147866666666663,15,0.0559,110,1.6452248096466064,13.260999999999987,0.8840666666666658,15,0.0323,93,1.5318119525909424,13.144099999999984,0.8762733333333322,15,0.0363,84,1.4402568340301514,13.965399999999983,0.9310266666666656,15,0.0892,213,9.34321904182434,14.049700000000001,0.9366466666666667,15,0.1026,109,9.595911979675293,13.862099999999998,0.9241399999999999,15,0.0713,176,9.501438856124878,13.902399999999982,0.9268266666666655,15,0.0826,190,13.708083152770996
12,14,0.4447339650373987,0.4736842105263157,2,15,11.873199999999972,0.7915466666666648,15,0.0066,37,0.6228489875793457,12.789499999999983,0.8526333333333321,15,0.0319,54,0.8587877750396729,13.5515,0.9034333333333334,15,0.0753,71,1.071537971496582,13.950099999999997,0.9300066666666665,15,0.121,90,1.3937652111053467,14.149000000000003,0.9432666666666668,15,0.1588,93,1.4348878860473633,13.9549,0.9303266666666666,15,0.1203,127,2.0563371181488037,13.612900000000002,0.9075266666666668,15,0.0948,139,10.287574052810669,14.073099999999995,0.9382066666666663,15,0.1457,166,10.958199977874756,13.791799999999997,0.9194533333333331,15,0.0945,260,11.815400123596191,13.951799999999997,0.9301199999999998,15,0.1179,165,12.833127975463867
12,10,0.4671187571362427,0.4736842105263157,2,15,11.777399999999963,0.7851599999999975,15,0.0071,34,0.5687038898468018,12.198799999999988,0.8132533333333325,15,0.0148,42,0.6809937953948975,12.738699999999985,0.8492466666666657,15,0.0246,90,1.4803321361541748,13.220199999999988,0.8813466666666658,15,0.0672,92,1.4614479541778564,13.46229999999997,0.8974866666666647,15,0.0981,123,2.0928497314453125,13.288199999999987,0.8858799999999991,15,0.0646,154,2.5315518379211426,13.524599999999994,0.9016399999999997,15,0.0858,131,8.39284896850586,13.719999999999992,0.9146666666666661,15,0.1126,275,11.187230825424194,13.9427,0.9295133333333333,15,0.1502,299,12.325802087783813,13.638900000000005,0.9092600000000003,15,0.1176,158,10.821223258972168
12,39,0.4824401595445327,0.4736842105263157,2,15,12.01679999999997,0.801119999999998,15,0.0085,35,0.5856080055236816,13.047799999999974,0.8698533333333316,15,0.0311,42,0.6577661037445068,13.145599999999984,0.8763733333333322,15,0.0338,49,0.7641329765319824,13.628599999999985,0.9085733333333323,15,0.0576,102,1.5446128845214844,13.227199999999984,0.8818133333333322,15,0.0395,84,1.381518840789795,13.31559999999998,0.8877066666666653,15,0.0424,92,1.5420877933502197,13.858899999999982,0.9239266666666655,15,0.0841,165,7.0768492221832275,13.637499999999987,0.9091666666666658,15,0.0644,189,9.56343126296997,13.907999999999987,0.9271999999999991,15,0.0998,179,10.997995138168335,14.079499999999998,0.9386333333333332,15,0.1212,190,14.671162843704224
12,80,0.4893680161156357,0.4210526315789473,2,16,12.475699999999971,0.7797312499999982,16,0.0107,28,0.4802732467651367,13.660499999999988,0.8537812499999993,16,0.0414,50,0.7671051025390625,13.832499999999992,0.8645312499999995,16,0.0455,58,0.8860840797424316,14.326299999999984,0.895393749999999,16,0.0819,75,1.1550979614257812,14.298399999999999,0.8936499999999999,16,0.0846,140,2.163275957107544,14.457399999999998,0.9035874999999999,16,0.0989,119,1.917268991470337,14.457599999999985,0.9035999999999991,16,0.1094,169,8.457909107208252,14.682099999999997,0.9176312499999998,16,0.1236,171,8.336153030395508,15.144099999999996,0.9465062499999998,16,0.2391,211,11.179159164428711,15.366599999999993,0.9604124999999996,16,0.2812,172,2.9641029834747314
12,52,0.4971874368229603,0.4736842105263157,2,15,12.018099999999967,0.8012066666666644,15,0.0085,30,0.48805665969848633,13.022599999999994,0.8681733333333329,15,0.0297,47,0.7136986255645752,13.038899999999972,0.8692599999999981,15,0.0297,53,0.8176250457763672,13.356299999999994,0.8904199999999995,15,0.0421,70,1.0695600509643555,13.348699999999983,0.8899133333333322,15,0.0394,98,1.5184791088104248,13.57399999999999,0.9049333333333326,15,0.0627,169,2.7007620334625244,14.042599999999998,0.9361733333333332,15,0.1196,216,8.028089761734009,14.1815,0.9454333333333333,15,0.1446,163,10.385787010192871,14.072900000000002,0.9381933333333335,15,0.1174,177,10.225627183914185,13.748899999999994,0.9165933333333329,15,0.0759,156,11.3006911277771
12,1,0.5029913366131069,0.4736842105263157,2,15,11.756999999999978,0.7837999999999986,15,0.0072,31,0.535128116607666,12.833499999999988,0.8555666666666659,15,0.0323,53,0.8306670188903809,13.485899999999972,0.8990599999999982,15,0.0755,51,0.799144983291626,13.925899999999995,0.928393333333333,15,0.1362,68,1.047504186630249,14.143999999999998,0.9429333333333332,15,0.1634,105,1.6182899475097656,14.280999999999993,0.9520666666666663,15,0.1976,97,1.537950038909912,14.334100000000003,0.9556066666666668,15,0.2033,124,1.9920198917388916,14.4682,0.9645466666666667,15,0.2555,194,3.1646602153778076,14.5026,0.9668399999999999,15,0.2716,186,3.112584114074707,14.341499999999987,0.9560999999999992,15,0.2115,206,3.577038049697876
12,13,0.5257578517658885,0.4210526315789473,2,16,12.142299999999969,0.758893749999998,16,0.0113,30,0.5013360977172852,13.360499999999977,0.8350312499999986,16,0.0544,62,0.9564962387084961,14.244799999999984,0.890299999999999,16,0.1054,61,0.928847074508667,14.803400000000002,0.9252125000000001,16,0.1895,83,1.3235998153686523,15.097299999999992,0.9435812499999995,16,0.2366,126,1.8906102180480957,14.170999999999987,0.8856874999999992,16,0.101,156,2.5587961673736572,14.898699999999993,0.9311687499999995,16,0.1879,158,10.705474138259888,14.892599999999995,0.9307874999999997,16,0.2073,226,10.868625164031982,15.11629999999999,0.9447687499999994,16,0.2582,306,13.113811016082764,15.090999999999998,0.9431874999999998,16,0.2438,147,11.99364185333252
