N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Optimal_cut,p1_expected_cut,p1_approx_ratio,p1_most_prob_cut,p1_most_prob_prob,p1_iterations,p1_time,p2_expected_cut,p2_approx_ratio,p2_most_prob_cut,p2_most_prob_prob,p2_iterations,p2_time,p3_expected_cut,p3_approx_ratio,p3_most_prob_cut,p3_most_prob_prob,p3_iterations,p3_time,p4_expected_cut,p4_approx_ratio,p4_most_prob_cut,p4_most_prob_prob,p4_iterations,p4_time,p5_expected_cut,p5_approx_ratio,p5_most_prob_cut,p5_most_prob_prob,p5_iterations,p5_time,p6_expected_cut,p6_approx_ratio,p6_most_prob_cut,p6_most_prob_prob,p6_iterations,p6_time,p7_expected_cut,p7_approx_ratio,p7_most_prob_cut,p7_most_prob_prob,p7_iterations,p7_time,p8_expected_cut,p8_approx_ratio,p8_most_prob_cut,p8_most_prob_prob,p8_iterations,p8_time,p9_expected_cut,p9_approx_ratio,p9_most_prob_cut,p9_most_prob_prob,p9_iterations,p9_time,p10_expected_cut,p10_approx_ratio,p10_most_prob_cut,p10_most_prob_prob,p10_iterations,p10_time
12,21,0.4668603134119591,0.5263157894736842,4,15,12.152999999999944,0.8101999999999963,15,0.0076,34,0.5680830478668213,13.224999999999982,0.8816666666666655,15,0.0317,45,0.7119748592376709,13.352399999999989,0.8901599999999992,15,0.0329,61,0.9580240249633788,13.8732,0.92488,15,0.0585,113,1.6953229904174805,13.394099999999982,,15,0.034,102,1.6754100322723389,10.978399999999963,,14,0.0093,118,2.202286720275879,14.094999999999995,0.9396666666666664,15,0.0819,283,9.82000494003296,14.218599999999991,0.947906666666666,15,0.086,253,11.377289056777954,14.162299999999991,,15,0.1015,186,13.594144105911257,14.375499999999992,0.958366666666666,15,0.1277,207,3.713510036468506
12,24,0.5401767684096717,0.4736842105263157,4,15,12.000199999999955,0.8000133333333304,15,0.0074,36,0.5987882614135742,13.221199999999987,0.8814133333333325,15,0.0318,49,0.7717440128326416,13.379699999999968,0.8919799999999979,15,0.0384,53,0.8472287654876709,13.957599999999994,0.9305066666666664,15,0.0756,110,1.668036937713623,13.349899999999998,,15,0.0414,81,1.3626689910888672,13.494699999999993,,15,0.0402,101,1.70538592338562,14.153000000000004,0.9435333333333336,15,0.1086,141,8.308948993682861,13.903599999999992,,15,0.0695,176,8.641679048538208,14.110199999999994,,15,0.0911,168,9.364990949630736,14.36170000000001,0.9574466666666672,15,0.1259,226,4.034128904342651
12,48,0.5628004884139575,0.4736842105263157,4,15,12.324099999999948,0.8216066666666632,15,0.0099,29,0.4967501163482666,13.33409999999997,0.888939999999998,15,0.0285,51,0.7940459251403809,13.574499999999995,0.9049666666666664,15,0.0368,74,1.1564252376556396,13.576799999999986,0.905119999999999,15,0.0363,66,1.056171178817749,13.814999999999996,0.9209999999999996,15,0.0446,110,1.772439956665039,14.048099999999993,0.9365399999999994,15,0.0666,243,3.9784388542175297,14.084100000000005,0.9389400000000004,15,0.0665,171,7.629520893096924,14.1339,0.94226,15,0.071,202,11.768155097961426,14.15940000000001,0.9439600000000008,15,0.0686,218,11.673338174819946,14.127999999999997,,15,0.0795,189,11.894011974334717
12,41,0.6033585780618926,0.5263157894736842,4,15,12.148699999999971,0.8099133333333314,15,0.0083,30,0.5242612361907959,13.254899999999992,0.8836599999999994,15,0.0311,43,0.6939308643341064,13.298599999999992,0.8865733333333328,15,0.0293,51,0.8245341777801514,13.484399999999985,0.898959999999999,15,0.0365,63,1.0326621532440186,13.911699999999987,0.927446666666666,15,0.0655,130,2.096565008163452,13.898699999999996,,15,0.0774,99,1.6653189659118652,13.799899999999989,,15,0.052,197,8.910680055618286,14.000999999999998,0.9334,15,0.073,197,8.547157049179077,14.093300000000005,0.9395533333333336,15,0.0757,223,9.686147928237917,14.3091,0.95394,15,0.1069,322,8.651823997497559
12,35,0.6266039834516297,0.5263157894736842,4,15,12.170999999999957,0.8113999999999971,15,0.0086,32,0.6100108623504639,13.212899999999992,0.8808599999999995,15,0.032,52,0.8179421424865723,13.319999999999972,0.8879999999999981,15,0.0359,46,0.7616510391235352,13.882899999999992,0.9255266666666662,15,0.0646,99,1.5374269485473633,13.32819999999999,,15,0.0344,113,1.8878881931304932,13.271599999999983,,15,0.0322,127,2.251260995864868,13.970500000000008,0.9313666666666672,15,0.0751,228,9.738878011703491,14.231699999999991,0.9487799999999994,15,0.1062,250,10.274563074111938,14.3854,0.9590266666666666,15,0.1286,234,10.697019815444946,14.38759999999999,0.9591733333333328,15,0.1292,131,2.4028708934783936
12,56,0.642793683624066,0.4736842105263157,4,15,12.211699999999956,0.8141133333333304,15,0.009,34,0.5778241157531738,13.182899999999965,0.8788599999999975,15,0.0294,54,0.8584470748901367,13.364599999999992,0.8909733333333328,15,0.0348,63,1.0084481239318848,13.760999999999989,0.9173999999999992,15,0.0517,75,1.2123432159423828,13.250699999999984,,15,0.0306,79,1.3501601219177246,13.326899999999982,,15,0.0287,128,2.280874013900757,13.812499999999996,0.9208333333333332,15,0.0563,133,7.570217847824097,14.04439999999999,0.9362933333333328,15,0.0805,210,10.353535890579224,14.438999999999991,0.9625999999999996,15,0.1374,274,11.593152046203612,14.495599999999998,0.9663733333333332,15,0.1517,146,2.653856039047241
12,46,0.6546289003738872,0.5263157894736842,4,15,12.161099999999962,0.8107399999999975,15,0.0081,29,0.5014028549194336,13.183099999999998,0.8788733333333332,15,0.0296,51,0.8134870529174805,13.270099999999983,0.8846733333333323,15,0.0305,54,0.8733601570129395,13.3684,0.8912266666666666,15,0.0368,67,1.106201171875,13.848699999999996,0.9232466666666664,15,0.0619,119,1.912405014038086,13.856099999999993,0.9237399999999996,15,0.066,117,1.981266975402832,13.505899999999988,,15,0.0361,175,9.292187213897703,14.017099999999992,0.9344733333333328,15,0.0744,383,13.169554233551024,14.236600000000005,0.9491066666666668,15,0.1067,181,11.12518310546875,14.3647,0.9576466666666668,15,0.1307,364,6.724536895751953
12,11,0.6858811184532438,0.5263157894736842,4,15,12.031599999999964,0.8021066666666644,15,0.0077,28,0.4981617927551269,13.034499999999989,0.8689666666666658,15,0.0331,52,0.8452887535095215,13.245799999999967,0.8830533333333312,15,0.0377,63,1.0276269912719729,13.65769999999999,0.9105133333333326,15,0.0603,68,1.1101999282836914,13.132399999999958,,15,0.0355,79,1.3733808994293213,13.473099999999972,,15,0.0482,83,1.4728128910064695,14.049899999999992,0.9366599999999996,15,0.1012,168,9.120266914367676,14.034799999999985,,15,0.1031,187,8.650743961334229,14.154600000000002,0.94364,15,0.1176,196,10.31317925453186,14.276800000000003,0.9517866666666668,15,0.1243,153,2.816871166229248
12,37,0.7121235752156778,0.4736842105263157,4,15,12.019399999999974,0.8012933333333316,15,0.0073,37,0.6368231773376465,13.05399999999998,0.8702666666666653,15,0.0315,62,0.9977412223815918,13.17529999999998,0.8783533333333319,15,0.0355,48,0.7890968322753906,13.79300000000001,0.919533333333334,15,0.0689,77,1.2346961498260498,13.575699999999996,,15,0.0604,103,1.7252960205078125,13.467099999999991,,15,0.0452,136,2.3170127868652344,13.878599999999976,0.9252399999999984,15,0.085,150,9.374868869781494,14.117499999999998,0.9411666666666664,15,0.1059,293,10.913976669311523,14.173599999999997,0.9449066666666665,15,0.1217,234,11.163716793060305,14.26089999999998,0.9507266666666652,15,0.1307,235,4.337425947189331
12,70,0.7462497637976888,0.4736842105263157,4,16,12.49739999999997,0.7810874999999982,16,0.0125,32,0.5523519515991211,13.75889999999998,0.8599312499999988,16,0.0356,50,0.8117740154266357,13.942799999999986,0.8714249999999991,16,0.0405,55,0.8793480396270752,14.040899999999985,0.8775562499999989,16,0.0451,73,1.178210973739624,14.652799999999996,0.9157999999999996,16,0.0789,139,2.198263645172119,14.9348,0.933425,16,0.1027,128,2.1107358932495117,14.80169999999999,,16,0.0976,137,7.866481065750122,15.090799999999996,0.9431749999999998,16,0.1194,158,11.393181800842283,15.114100000000004,0.9446312500000004,16,0.1195,195,10.857093811035156,15.20089999999999,0.9500562499999994,16,0.1268,161,2.9449620246887207
