N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Optimal_cut,p_layers,Expected_cut,Approximation_ratio,Most_probable_bitstring,Most_probable_prob,Most_probable_cut,Best_measured_bitstring,Best_measured_cut,Optimizer_iterations,Final_cost,Optimization_time
10,2,0.4343492042766925,0.5276381909547738,2,12,1,9.840700000000007,0.8200583333333339,0011001100,0.0133,12,0011001100,12,30,-4.681399999999994,0.3562018871307373
10,4,0.6202332177120748,0.5175879396984925,4,12,1,9.827500000000002,0.8189583333333336,1100110110,0.0122,12,1100110110,12,29,-4.654999999999998,0.34197998046875
10,6,0.6390695311371388,0.4422110552763819,2,13,1,10.08999999999999,0.7761538461538453,0101010101,0.0196,13,0101010101,13,34,-5.17999999999999,0.39404797554016113
10,1,0.6409976277655733,0.4371859296482412,2,13,1,9.8225,0.755576923076923,1100101100,0.0173,13,1100101100,13,35,-4.6450000000000005,0.4163031578063965
10,12,0.7264525195529954,0.5226130653266332,4,12,1,9.959600000000004,0.829966666666667,0011100001,0.015,12,0011100001,12,31,-4.919199999999994,0.3560009002685547
10,18,0.7558653171060516,0.4522613065326633,4,13,1,10.397800000000005,0.7998307692307697,0111000011,0.0225,13,0111000011,13,29,-5.795599999999995,0.3384690284729004
10,3,0.8123253869791451,0.4120603015075377,2,13,1,9.954099999999997,0.7656999999999997,0011001110,0.0177,13,0011001110,13,30,-4.9082,0.34420132637023926
10,9,0.8477263128040935,0.457286432160804,2,13,1,10.118500000000003,0.778346153846154,1100011100,0.0209,13,1100011100,13,32,-5.236999999999993,0.3715860843658447
10,10,0.89588844366624,0.592964824120603,6,12,1,10.088700000000001,0.8407250000000001,0011100001,0.0166,12,0011100001,12,29,-5.177399999999991,0.3304932117462158
10,7,0.9679651052139427,0.4020100502512563,4,13,1,10.096400000000006,0.7766461538461543,0111000110,0.0211,13,0111000110,13,37,-5.192799999999999,0.4226560592651367
10,14,0.9822899434057925,0.321608040201005,2,15,1,10.406000000000008,0.6937333333333339,0111000011,0.0517,15,0111000011,15,27,-5.811999999999998,0.3229649066925049
10,13,0.9843905006031956,0.4472361809045226,4,13,1,10.230200000000004,0.7869384615384618,0101011010,0.0216,13,0101011010,13,28,-5.4603999999999955,0.3201789855957031
10,17,1.018974040317156,0.3517587939698492,2,15,1,10.402400000000013,0.6934933333333342,0111000011,0.0524,15,0111000011,15,28,-5.804799999999999,0.32263779640197754
10,11,1.0799780341841083,0.4271356783919598,6,13,1,10.240400000000001,0.787723076923077,0011110001,0.0241,13,0011110001,13,35,-5.48079999999999,0.39934372901916504
10,16,1.087761410162118,0.4522613065326633,6,13,1,10.411499999999997,0.8008846153846151,0111000101,0.0256,13,0111000101,13,32,-5.822999999999997,0.3648087978363037
10,8,1.243936750627226,0.4522613065326633,6,13,1,10.236699999999999,0.7874384615384614,1010100011,0.0212,13,1010100011,13,31,-5.47339999999999,0.3552119731903076
10,19,1.2453669273832269,0.6231155778894473,10,12,1,10.417000000000012,0.8680833333333343,0111100101,0.0187,12,0111100101,12,33,-5.833999999999998,0.37932610511779785
10,5,1.4321869811764163,0.4321608040201005,8,13,1,10.0846,0.7757384615384615,1001100011,0.0238,13,1001100011,13,30,-5.169199999999996,0.3708217144012451
10,15,1.496912921339618,0.4221105527638191,10,13,1,10.4059,0.8004538461538462,0101101001,0.0262,13,0101101001,13,29,-5.811799999999989,0.3322899341583252
