N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Optimal_cut,p1_expected_cut,p1_approx_ratio,p1_most_prob_cut,p1_most_prob_prob,p1_iterations,p1_time,p2_expected_cut,p2_approx_ratio,p2_most_prob_cut,p2_most_prob_prob,p2_iterations,p2_time,p3_expected_cut,p3_approx_ratio,p3_most_prob_cut,p3_most_prob_prob,p3_iterations,p3_time,p4_expected_cut,p4_approx_ratio,p4_most_prob_cut,p4_most_prob_prob,p4_iterations,p4_time,p5_expected_cut,p5_approx_ratio,p5_most_prob_cut,p5_most_prob_prob,p5_iterations,p5_time,p6_expected_cut,p6_approx_ratio,p6_most_prob_cut,p6_most_prob_prob,p6_iterations,p6_time,p7_expected_cut,p7_approx_ratio,p7_most_prob_cut,p7_most_prob_prob,p7_iterations,p7_time,p8_expected_cut,p8_approx_ratio,p8_most_prob_cut,p8_most_prob_prob,p8_iterations,p8_time,p9_expected_cut,p9_approx_ratio,p9_most_prob_cut,p9_most_prob_prob,p9_iterations,p9_time,p10_expected_cut,p10_approx_ratio,p10_most_prob_cut,p10_most_prob_prob,p10_iterations,p10_time
14,258,0.2393244913385821,0.4836945917928273,2,18,14.244600000000078,0.791366666666671,18,0.0047,29,0.9445152282714844,15.475800000000111,0.8597666666666729,18,0.0176,53,1.3410120010375977,15.821900000000081,0.878994444444449,18,0.0253,80,1.7863638401031494,15.882600000000085,0.8823666666666714,18,0.0251,69,1.6061937808990479,16.444500000000026,0.9135833333333347,18,0.061,83,2.0332820415496826,16.458700000000057,0.9143722222222254,18,0.0576,107,2.6393847465515137,16.34490000000006,0.9080500000000034,18,0.0651,175,52.95850682258606,16.602300000000067,0.9223500000000038,18,0.076,188,27.076887607574463,16.275800000000046,0.9042111111111137,18,0.0433,166,49.4207558631897,16.588600000000035,0.9215888888888908,18,0.0687,198,376.31705808639526
14,119,0.2828089909965765,0.4808661035310025,2,18,14.238300000000121,0.7910166666666734,18,0.0048,29,1.3617711067199707,15.481500000000105,0.8600833333333392,18,0.017,48,1.283236026763916,15.629100000000095,0.8682833333333386,18,0.0206,67,1.6248631477355957,15.982000000000049,0.8878888888888916,18,0.027,77,2.07624888420105,16.44780000000006,0.9137666666666701,18,0.0596,133,3.3640339374542236,16.648300000000038,0.9249055555555576,18,0.0716,115,6.627469062805176,16.48620000000002,0.9159000000000012,18,0.0559,224,36.03841829299927,16.63530000000002,0.9241833333333344,18,0.0632,147,18.54436683654785,16.913000000000014,0.939611111111112,18,0.0958,205,39.97626280784607,16.702400000000022,0.9279111111111124,18,0.0739,259,119.07245111465454
14,41,0.2904289717080122,0.4902385073994305,2,18,14.245700000000104,0.7914277777777836,18,0.0041,31,1.8325879573822021,15.555700000000085,0.8642055555555603,18,0.0169,56,3.904630184173584,15.801400000000061,0.8778555555555589,18,0.0197,68,6.455528020858765,16.178700000000042,0.898816666666669,18,0.0308,83,9.469902992248535,15.77180000000009,0.876211111111116,18,0.0202,99,12.34640622138977,16.18890000000005,0.8993833333333361,18,0.033,140,14.062964916229248,16.27200000000007,0.9040000000000039,18,0.0356,167,26.61697292327881,16.698400000000017,0.9276888888888899,18,0.0701,200,63.49008011817932,16.10540000000005,0.8947444444444472,18,0.0223,197,98.54576015472412,16.874500000000022,0.9374722222222235,18,0.0823,234,101.38900899887085
14,88,0.2907221338017685,0.5170146547566716,2,18,13.942900000000083,0.7746055555555602,18,0.0038,31,1.3401532173156738,15.311900000000078,0.8506611111111154,18,0.023,49,1.9794378280639648,15.532000000000092,0.862888888888894,18,0.0251,53,2.1946780681610107,15.943800000000063,0.8857666666666701,18,0.0341,75,1.7696630954742432,16.425800000000052,0.9125444444444474,18,0.0618,113,4.083831787109375,15.857500000000105,0.880972222222228,18,0.0301,191,5.097595691680908,16.94380000000002,0.9413222222222234,18,0.1114,162,10.882580041885376,16.968000000000014,0.9426666666666674,18,0.1157,151,16.29074716567993,16.27240000000007,0.9040222222222261,18,0.0426,171,45.957890033721924,16.725100000000033,0.9291722222222241,18,0.0985,172,86.57877826690674
14,87,0.3039146398194852,0.4860040978176588,2,18,14.094300000000096,0.783016666666672,18,0.0043,29,0.9859540462493896,15.360400000000082,0.8533555555555601,18,0.0191,42,1.1003820896148682,15.65580000000006,0.86976666666667,18,0.0247,52,1.1920702457427979,16.248400000000046,0.9026888888888914,18,0.0577,71,1.6825599670410156,15.571800000000087,0.8651000000000049,18,0.0259,81,2.110565185546875,16.030900000000074,0.8906055555555596,18,0.035,111,2.862475872039795,16.31460000000003,0.9063666666666683,18,0.0548,202,14.292922973632812,16.591000000000026,0.9217222222222237,18,0.0813,149,54.435680866241455,16.59270000000003,0.9218166666666683,18,0.0813,119,18.486489057540894,16.929300000000023,0.9405166666666679,18,0.1201,246,25.87582492828369
14,136,0.3098935382717371,0.4810126828771378,2,18,14.213000000000116,0.7896111111111176,17,0.0044,29,0.6700551509857178,15.49330000000012,0.8607388888888956,18,0.0173,49,1.0440940856933594,15.762800000000073,0.8757111111111152,18,0.0241,68,1.4904701709747314,16.160400000000045,0.8978000000000025,18,0.0327,76,1.7044410705566406,15.594500000000105,0.8663611111111169,18,0.0206,86,2.1959171295166016,15.847400000000084,0.8804111111111158,18,0.0255,126,3.2932279109954834,16.584300000000045,0.9213500000000026,18,0.0712,160,12.846727848052979,16.139900000000075,0.8966611111111153,18,0.0382,174,15.04227089881897,16.952200000000012,0.9417888888888896,18,0.0999,179,29.900294065475464,16.960900000000017,0.9422722222222232,18,0.1,127,357.5550661087036
14,180,0.3166399154132016,0.4755230650907736,2,18,14.261700000000129,0.7923166666666739,18,0.0045,31,0.8631448745727539,15.519300000000099,0.8621833333333389,18,0.0173,47,1.2172362804412842,15.499800000000093,0.8611000000000052,18,0.0197,54,1.4664461612701416,15.61170000000013,0.867316666666674,18,0.0213,65,1.9125688076019287,15.863900000000067,0.8813277777777815,18,0.0245,89,2.0468709468841553,16.038900000000087,0.8910500000000048,18,0.0337,174,4.13992977142334,16.41160000000005,0.9117555555555583,18,0.0723,172,11.112370729446411,16.53390000000006,0.9185500000000033,18,0.0662,146,12.40406608581543,16.75370000000001,0.9307611111111116,18,0.0854,138,58.32835507392883,16.870800000000013,0.9372666666666674,18,0.1053,206,133.36653208732605
14,102,0.3199520579670967,0.4902177864155778,2,18,14.20810000000012,0.7893388888888956,18,0.0042,29,2.320112943649292,15.495700000000056,0.8608722222222254,18,0.0194,53,4.476523160934448,16.18970000000005,0.8994277777777806,18,0.044,56,5.643086910247803,16.07550000000007,0.8930833333333372,18,0.0361,85,5.919106960296631,15.897000000000064,0.8831666666666702,18,0.0259,99,3.7871310710906982,15.907000000000062,0.8837222222222256,18,0.0265,116,4.547921895980835,16.353500000000043,0.9085277777777802,18,0.0412,156,35.74362587928772,16.98400000000001,0.943555555555556,18,0.0938,256,91.7490587234497,17.021800000000013,0.9456555555555562,18,0.1029,227,86.9370470046997,16.626900000000013,0.9237166666666674,18,0.0635,283,21.362926244735718
14,290,0.3366788015575839,0.4807294798531165,2,18,14.386000000000093,0.7992222222222274,18,0.0055,33,1.0661931037902832,15.604200000000109,0.866900000000006,18,0.0182,53,1.3121991157531738,15.89240000000009,0.8829111111111161,18,0.0231,59,1.3403239250183105,15.952700000000062,0.8862611111111146,18,0.0269,69,1.619901180267334,16.509800000000023,0.9172111111111124,18,0.0482,123,2.924970865249634,16.53130000000003,0.9184055555555573,18,0.0525,114,2.8096530437469482,16.310900000000043,0.9061611111111135,18,0.0408,152,12.878396987915039,16.463200000000032,0.914622222222224,18,0.0519,289,60.55865502357483,16.819000000000017,0.9343888888888898,18,0.0809,250,49.761122941970825,16.847500000000018,0.9359722222222232,18,0.0781,138,68.32458019256592
14,127,0.3383555187903493,0.4838527311029865,2,18,14.227200000000082,0.7904000000000045,18,0.0045,34,2.218465805053711,15.6945000000001,0.8719166666666722,18,0.0182,55,4.058748722076416,16.401300000000038,0.9111833333333355,18,0.0468,70,6.3727850914001465,16.003500000000084,0.889083333333338,18,0.0254,102,11.139426708221436,16.256300000000053,0.9031277777777807,18,0.0335,123,292.5292589664459,15.901800000000064,0.8834333333333368,18,0.0207,114,3.2684848308563232,16.817700000000016,0.9343166666666676,18,0.0724,149,14.264896869659424,16.90060000000002,0.9389222222222232,18,0.0886,142,45.362634897232056,16.905000000000015,0.9391666666666675,18,0.0889,194,109.615553855896,16.86670000000002,0.93703888888889,18,0.0855,198,54.928349018096924
14,311,0.341566037630983,0.4819023021463093,2,18,14.398700000000073,0.7999277777777818,17,0.004,30,1.3431100845336914,15.616200000000093,0.8675666666666718,18,0.0187,41,2.7717158794403076,15.725900000000058,0.8736611111111143,18,0.0212,61,5.4593799114227295,16.38440000000003,0.9102444444444462,18,0.0416,98,10.877295017242432,15.960100000000057,0.8866722222222254,18,0.0253,84,10.500365018844604,15.87830000000004,0.8821277777777801,18,0.0293,108,14.56329894065857,15.982000000000088,0.8878888888888938,18,0.026,129,14.64726996421814,16.92960000000002,0.9405333333333343,18,0.134,227,15.863111019134521,16.691000000000034,0.9272777777777796,18,0.0875,184,52.22713899612427,16.581400000000045,0.9211888888888914,18,0.0513,174,122.67603731155396
14,101,0.3416710908486511,0.5027945281096389,2,18,14.104300000000098,0.7835722222222277,18,0.0044,29,2.2931160926818848,15.392700000000099,0.8551500000000055,18,0.0217,58,3.5114662647247314,16.153800000000064,0.8974333333333369,18,0.0482,72,1.4394299983978271,16.67750000000003,0.9265277777777795,18,0.0876,86,1.7620728015899658,16.935800000000015,0.9408777777777786,18,0.1191,103,2.159811019897461,16.48680000000004,0.9159333333333356,18,0.0682,130,3.0668349266052246,16.29050000000006,0.905027777777781,18,0.0636,152,11.440418720245361,16.714200000000027,0.9285666666666681,18,0.0999,174,13.087836027145386,16.86340000000001,0.9368555555555561,18,0.1028,140,33.18402910232544,16.905,0.9391666666666667,18,0.1029,164,55.6990430355072
14,502,0.3440156215035888,0.4825468317577225,2,18,14.557100000000116,0.8087277777777842,18,0.0053,35,1.39329195022583,15.675100000000127,0.8708388888888959,18,0.0166,56,2.471571922302246,15.90990000000005,0.8838833333333361,18,0.0211,79,3.9116499423980713,16.303100000000047,0.9057277777777804,18,0.0319,61,3.2764711380004883,16.33580000000005,0.9075444444444472,18,0.0355,117,7.393158912658691,16.733800000000016,0.9296555555555565,18,0.0607,240,30.559246063232422,16.303800000000052,0.9057666666666696,18,0.0432,202,38.372756242752075,16.324800000000028,0.9069333333333349,18,0.0461,207,17.330002307891846,16.033300000000075,0.8907388888888931,18,0.0289,208,15.854289054870605,16.20590000000003,0.9003277777777795,18,0.045,242,22.75252103805542
