N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Optimal_cut,p1_expected_cut,p1_approx_ratio,p1_most_prob_cut,p1_most_prob_prob,p1_iterations,p1_time,p2_expected_cut,p2_approx_ratio,p2_most_prob_cut,p2_most_prob_prob,p2_iterations,p2_time,p3_expected_cut,p3_approx_ratio,p3_most_prob_cut,p3_most_prob_prob,p3_iterations,p3_time,p4_expected_cut,p4_approx_ratio,p4_most_prob_cut,p4_most_prob_prob,p4_iterations,p4_time,p5_expected_cut,p5_approx_ratio,p5_most_prob_cut,p5_most_prob_prob,p5_iterations,p5_time,p6_expected_cut,p6_approx_ratio,p6_most_prob_cut,p6_most_prob_prob,p6_iterations,p6_time,p7_expected_cut,p7_approx_ratio,p7_most_prob_cut,p7_most_prob_prob,p7_iterations,p7_time,p8_expected_cut,p8_approx_ratio,p8_most_prob_cut,p8_most_prob_prob,p8_iterations,p8_time,p9_expected_cut,p9_approx_ratio,p9_most_prob_cut,p9_most_prob_prob,p9_iterations,p9_time,p10_expected_cut,p10_approx_ratio,p10_most_prob_cut,p10_most_prob_prob,p10_iterations,p10_time
12,18,0.3626392243729324,0.5263157894736842,2,15,12.01769999999996,0.8011799999999972,15,0.0065,32,0.4870100021362304,12.583199999999977,0.8388799999999983,15,0.0168,43,0.6522159576416016,13.179499999999992,0.8786333333333328,15,0.0363,86,1.260807991027832,10.754099999999976,,14,0.0069,76,1.269237995147705,13.308099999999998,0.8872066666666665,15,0.0568,133,2.03540301322937,13.20029999999998,,15,0.043,106,1.654283046722412,13.46599999999999,0.8977333333333327,15,0.0479,217,3.4787509441375732,13.05799999999998,,15,0.023,185,3.0980889797210693,13.668199999999995,0.911213333333333,15,0.0677,241,4.091630697250366,13.54769999999998,,15,0.0565,237,4.174437999725342
12,6,0.3847549489337361,0.5263157894736842,2,15,12.015299999999955,0.8010199999999971,15,0.0066,35,0.5535309314727783,12.794599999999985,0.8529733333333323,15,0.0204,53,0.7843267917633057,13.224599999999974,0.8816399999999983,15,0.0352,69,1.012042999267578,13.610499999999991,0.907366666666666,15,0.0545,106,1.5510022640228271,13.350099999999976,,15,0.0469,124,1.8736932277679443,13.193799999999984,,15,0.0422,117,1.8374099731445312,13.4112,,15,0.0518,172,2.740133285522461,10.458599999999976,,14,0.004,185,3.4445648193359375,13.349199999999971,,15,0.038,209,3.607165813446045,13.370699999999989,,15,0.0255,350,6.18208384513855
12,45,0.4414443375224568,0.4736842105263157,2,15,12.184899999999969,0.8123266666666645,15,0.0078,32,0.4899568557739258,12.494399999999956,0.832959999999997,15,0.0127,44,0.6704521179199219,13.472599999999998,0.8981733333333332,15,0.0393,100,1.4303319454193115,13.799599999999987,0.9199733333333324,15,0.0703,97,1.443822145462036,13.427000000000008,,15,0.0521,107,1.6387391090393066,13.2602,,15,0.0403,102,1.625807762145996,13.708100000000002,,15,0.0602,152,2.4182348251342773,13.621199999999996,,15,0.0574,214,3.5205390453338623,13.599699999999997,,15,0.0552,263,4.450498819351196,13.684499999999993,,15,0.0503,286,4.835432767868042
12,14,0.4447339650373987,0.4736842105263157,2,15,11.888299999999962,0.7925533333333308,15,0.006,30,0.4702198505401611,12.740899999999984,0.8493933333333322,15,0.0206,55,0.8067989349365234,12.70229999999999,,15,0.0239,62,0.9345269203186036,13.842900000000004,0.9228600000000002,15,0.1035,155,2.2783331871032715,12.660399999999967,,15,0.0229,116,1.852587938308716,13.084599999999991,,15,0.0469,137,2.160775899887085,13.39739999999999,,15,0.0553,201,3.164937973022461,10.061199999999966,,14,0.0037,132,2.551441192626953,13.174799999999989,,15,0.0508,166,2.8819847106933594,13.030899999999985,,15,0.0444,242,4.338766098022461
12,10,0.4671187571362427,0.4736842105263157,2,15,11.784899999999991,0.7856599999999995,15,0.0075,34,0.5271730422973633,12.465099999999971,0.8310066666666649,15,0.0186,53,0.7875950336456299,12.479800000000004,0.831986666666667,15,0.0187,75,1.1321616172790527,9.58349999999998,,15,0.0049,86,1.4686861038208008,12.247799999999978,,15,0.0177,150,2.4248600006103516,12.871899999999982,0.8581266666666655,15,0.0537,142,2.248345136642456,10.490299999999966,,15,0.0057,123,2.2459089756011963,10.613899999999974,,12,0.0057,240,4.409226179122925,13.692000000000002,0.9128000000000002,15,0.1024,181,3.0319631099700928,12.93989999999998,,15,0.0342,329,5.7884440422058105
12,39,0.4824401595445327,0.4736842105263157,2,15,12.009299999999936,0.8006199999999958,15,0.0083,27,0.4572279453277588,12.478499999999976,0.8318999999999985,15,0.0143,44,0.6643679141998291,12.916099999999972,0.8610733333333316,15,0.0307,55,0.8306171894073486,13.243499999999983,0.8828999999999989,15,0.0362,136,2.03413987159729,13.363999999999988,0.8909333333333326,15,0.0587,125,1.9308409690856936,13.315899999999983,,15,0.0473,114,1.7815649509429932,13.48899999999999,0.899266666666666,15,0.0472,154,2.4519989490509033,12.975599999999964,,15,0.0294,157,2.701215982437134,13.368499999999978,,15,0.0473,199,3.4318289756774902,10.22399999999997,,15,0.0107,212,4.171494960784912
12,80,0.4893680161156357,0.4210526315789473,2,16,12.468999999999962,0.7793124999999976,16,0.011,32,0.5016887187957764,13.25839999999998,0.8286499999999988,16,0.027,56,0.8210229873657227,11.31579999999995,,15,0.0088,80,1.3041691780090332,14.423999999999989,0.9014999999999992,16,0.1172,110,1.6517019271850586,13.751499999999982,,16,0.0419,94,1.4459149837493896,14.017499999999998,,16,0.0617,120,1.8413519859313965,13.93879999999998,,16,0.0627,120,1.94179105758667,13.750899999999994,,16,0.0419,276,4.634742975234985,14.068099999999994,,16,0.0742,200,3.4028379917144775,14.67109999999999,0.9169437499999994,16,0.1419,247,4.267614841461182
12,52,0.4971874368229603,0.4736842105263157,2,15,12.021799999999986,0.8014533333333325,15,0.0083,29,0.4520089626312256,12.220499999999973,0.8146999999999982,15,0.0126,42,0.6650741100311279,13.257299999999969,0.8838199999999979,15,0.0406,69,1.0130858421325684,13.671500000000002,0.9114333333333334,15,0.0873,112,1.6929447650909424,13.455299999999989,,15,0.0588,132,1.994946002960205,13.160199999999987,,15,0.0417,106,1.713399887084961,13.11949999999998,,15,0.0358,120,1.9572150707244873,10.563599999999989,,14,0.0042,113,2.135023832321167,13.31799999999998,,15,0.0471,198,3.411612033843994,10.305899999999982,,15,0.0114,163,3.1755380630493164
12,1,0.5029913366131069,0.4736842105263157,2,15,11.759299999999955,0.7839533333333305,15,0.0068,31,0.4828808307647705,12.599699999999965,0.8399799999999976,15,0.0178,62,0.9077389240264891,11.918399999999968,,15,0.0079,73,1.1393191814422607,12.227699999999976,,15,0.0176,76,1.2128801345825195,12.136299999999975,,15,0.0149,111,1.8604488372802737,13.10159999999998,0.8734399999999987,15,0.043,133,2.0972561836242676,13.176699999999984,0.8784466666666655,15,0.0445,147,2.3788790702819824,10.282199999999984,,15,0.0139,168,3.029088973999023,13.08069999999999,,15,0.0513,181,3.089487791061402,13.75599999999999,0.917066666666666,15,0.1226,185,3.1967129707336426
12,13,0.5257578517658885,0.4210526315789473,2,16,12.15389999999996,0.7596187499999976,16,0.011,26,0.4101588726043701,12.740699999999956,0.7962937499999972,16,0.0252,43,0.6486761569976807,13.744799999999971,0.8590499999999983,16,0.0711,74,1.0688340663909912,13.4703,,16,0.0449,102,1.5375638008117676,13.422199999999975,,16,0.0463,102,1.572930097579956,13.866199999999983,0.8666374999999991,16,0.0669,160,2.4505538940429688,13.575699999999989,,16,0.0847,127,2.102566957473755,13.662099999999988,,16,0.0636,185,3.1070029735565186,13.83669999999999,,16,0.0688,228,3.830785989761353,14.717299999999993,0.9198312499999995,16,0.1582,469,7.832180976867676
