N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Optimal_cut,p1_expected_cut,p1_approx_ratio,p1_most_prob_cut,p1_most_prob_prob,p1_iterations,p1_time,p2_expected_cut,p2_approx_ratio,p2_most_prob_cut,p2_most_prob_prob,p2_iterations,p2_time,p3_expected_cut,p3_approx_ratio,p3_most_prob_cut,p3_most_prob_prob,p3_iterations,p3_time,p4_expected_cut,p4_approx_ratio,p4_most_prob_cut,p4_most_prob_prob,p4_iterations,p4_time,p5_expected_cut,p5_approx_ratio,p5_most_prob_cut,p5_most_prob_prob,p5_iterations,p5_time,p6_expected_cut,p6_approx_ratio,p6_most_prob_cut,p6_most_prob_prob,p6_iterations,p6_time,p7_expected_cut,p7_approx_ratio,p7_most_prob_cut,p7_most_prob_prob,p7_iterations,p7_time,p8_expected_cut,p8_approx_ratio,p8_most_prob_cut,p8_most_prob_prob,p8_iterations,p8_time,p9_expected_cut,p9_approx_ratio,p9_most_prob_cut,p9_most_prob_prob,p9_iterations,p9_time,p10_expected_cut,p10_approx_ratio,p10_most_prob_cut,p10_most_prob_prob,p10_iterations,p10_time
12,5,1.611774,0.631578947368421,34,14,11.894199999999978,0.8495857142857127,14,0.0062,29,0.4905331134796142,12.583499999999992,0.898821428571428,14,0.0123,68,0.9866700172424316,12.899099999999988,0.9213642857142847,14,0.0154,76,1.0868399143218994,12.558699999999993,,14,0.013,83,1.290710210800171,13.059999999999985,0.9328571428571416,14,0.0341,122,1.81912899017334,12.664099999999976,,14,0.0252,92,1.4474139213562012,10.432499999999973,,12,0.0069,135,2.368070125579834,11.175099999999969,,14,0.0094,140,2.5077600479125977,13.117799999999978,0.9369857142857126,14,0.0176,226,3.82404899597168,13.745899999999995,0.9818499999999998,14,0.0307,295,4.984145164489746
12,7,1.5097822741973117,0.631578947368421,28,14,11.896399999999971,0.8497428571428551,14,0.0057,31,0.4715430736541748,12.702699999999988,0.9073357142857134,14,0.0181,43,0.6368777751922607,12.70209999999999,,14,0.0128,70,1.0316689014434814,12.942299999999989,0.9244499999999992,14,0.0191,87,1.3128550052642822,12.44029999999996,,14,0.0125,130,2.052159070968628,13.051999999999996,0.932285714285714,14,0.0244,125,1.910336971282959,13.709999999999996,0.979285714285714,14,0.0351,220,3.3804757595062256,10.95340000000001,,14,0.0091,186,3.3430938720703125,13.226599999999996,,14,0.0276,224,3.784722805023194,13.122599999999997,,14,0.0201,258,4.564886093139648
12,15,1.348825946949067,0.5789473684210527,18,14,11.655299999999947,0.832521428571425,14,0.0055,33,0.5133228302001953,12.49359999999999,0.8923999999999993,14,0.0147,61,0.9205038547515868,12.460199999999984,,14,0.0141,73,1.0817830562591553,12.364899999999988,,14,0.0124,90,1.386566162109375,12.29399999999998,,14,0.015,106,1.6599647998809814,12.822499999999993,0.9158928571428566,14,0.0222,102,1.6875569820404053,12.9899,0.92785,14,0.0265,148,2.420747995376587,12.576099999999997,,14,0.0177,182,3.160801887512207,13.249299999999984,0.9463785714285704,14,0.0351,174,3.014235019683838,12.769500000000004,,14,0.0227,223,4.005486965179443
12,20,1.4388201528095903,0.5789473684210527,10,14,11.900999999999977,0.8500714285714268,14,0.0064,33,0.5210039615631104,12.53789999999998,0.8955642857142843,14,0.0133,62,0.9054450988769532,12.58929999999997,0.8992357142857121,14,0.0127,59,0.8949587345123291,12.48829999999998,,14,0.0106,84,1.3112199306488037,12.368399999999966,,14,0.0137,82,1.319591999053955,12.659199999999972,0.9042285714285694,14,0.0203,93,1.4745562076568604,12.860399999999997,0.9185999999999996,14,0.0149,152,2.4742510318756104,13.209099999999996,0.9435071428571424,14,0.0242,144,2.381866931915283,12.983699999999985,,14,0.0197,175,2.996376037597656,13.144799999999996,,14,0.02,274,4.762086868286133
12,26,1.5207497157665202,0.5789473684210527,26,14,11.889999999999974,0.8492857142857124,14,0.0067,29,0.4517109394073486,12.839499999999992,0.9171071428571425,14,0.0215,79,1.1266381740570068,13.247899999999998,0.9462785714285712,14,0.0329,67,0.9645440578460692,13.2124,,14,0.0283,104,1.5380926132202148,12.675699999999978,,14,0.0173,127,1.992156982421875,13.136299999999997,,14,0.0244,124,1.9120569229125977,13.173799999999988,,14,0.0274,155,2.4937450885772705,12.615199999999971,,14,0.0188,168,2.854994058609009,12.911299999999986,,14,0.0211,198,3.350799798965454,11.908499999999998,,14,0.0223,193,3.535097122192383
12,44,1.6404277649074324,0.6842105263157894,36,14,12.179899999999972,0.8699928571428552,14,0.0078,28,0.4334800243377685,12.549499999999966,0.8963928571428548,14,0.0094,47,0.7037720680236816,12.908499999999984,0.9220357142857132,14,0.0135,78,1.1816368103027344,13.564099999999984,0.9688642857142844,14,0.0283,96,1.4067509174346924,13.01779999999998,,14,0.0135,105,1.6093649864196775,13.215999999999998,,14,0.0171,116,1.7986700534820557,13.407599999999997,,14,0.0246,152,2.488572835922241,13.548499999999985,,14,0.0264,217,3.512938976287842,13.25809999999997,,14,0.0182,218,3.70075011253357,13.371399999999996,,14,0.0206,224,3.881925106048584
12,59,1.4899100336343487,0.5263157894736842,24,14,11.904999999999946,0.850357142857139,14,0.0063,36,0.5575089454650879,12.140299999999971,0.8671642857142838,14,0.0099,42,0.6417880058288574,13.095599999999989,0.935399999999999,14,0.0229,81,1.1660709381103516,9.846799999999966,,12,0.0049,73,1.2212059497833252,13.250199999999984,0.946442857142856,14,0.0262,100,1.506314992904663,13.165099999999986,,14,0.0212,107,1.6452291011810305,13.071799999999977,,14,0.0192,168,2.7101829051971436,10.565799999999978,,14,0.0049,120,2.216377019882202,13.13999999999999,,14,0.0238,197,3.353804111480713,10.903599999999988,,14,0.0045,199,3.781981229782105
12,72,1.505438431615552,0.4736842105263157,12,16,12.457999999999982,0.7786249999999989,16,0.0137,28,0.4307279586791992,13.494099999999968,0.843381249999998,16,0.0267,49,0.732398271560669,14.43139999999998,0.9019624999999988,16,0.0427,75,1.0956408977508545,14.422699999999962,,16,0.0374,84,1.2793080806732178,13.601099999999986,,16,0.0329,80,1.2823448181152344,15.194599999999989,0.9496624999999992,16,0.0502,133,1.9737989902496336,14.817499999999988,,16,0.0444,131,2.1177620887756348,14.64389999999998,,16,0.0464,194,3.2004148960113525,15.16369999999999,,16,0.0579,192,3.225897789001465,15.19579999999999,0.9497374999999992,16,0.064,276,4.610059022903442
12,18,0.3626392243729324,0.5263157894736842,2,15,12.01769999999996,0.8011799999999972,15,0.0065,32,0.4870100021362304,12.583199999999977,0.8388799999999983,15,0.0168,43,0.6522159576416016,13.179499999999992,0.8786333333333328,15,0.0363,86,1.260807991027832,10.754099999999976,,14,0.0069,76,1.269237995147705,13.308099999999998,0.8872066666666665,15,0.0568,133,2.03540301322937,13.20029999999998,,15,0.043,106,1.654283046722412,13.46599999999999,0.8977333333333327,15,0.0479,217,3.4787509441375732,13.05799999999998,,15,0.023,185,3.0980889797210693,13.668199999999995,0.911213333333333,15,0.0677,241,4.091630697250366,13.54769999999998,,15,0.0565,237,4.174437999725342
12,6,0.3847549489337361,0.5263157894736842,2,15,12.015299999999955,0.8010199999999971,15,0.0066,35,0.5535309314727783,12.794599999999985,0.8529733333333323,15,0.0204,53,0.7843267917633057,13.224599999999974,0.8816399999999983,15,0.0352,69,1.012042999267578,13.610499999999991,0.907366666666666,15,0.0545,106,1.5510022640228271,13.350099999999976,,15,0.0469,124,1.8736932277679443,13.193799999999984,,15,0.0422,117,1.8374099731445312,13.4112,,15,0.0518,172,2.740133285522461,10.458599999999976,,14,0.004,185,3.4445648193359375,13.349199999999971,,15,0.038,209,3.607165813446045,13.370699999999989,,15,0.0255,350,6.18208384513855
12,45,0.4414443375224568,0.4736842105263157,2,15,12.184899999999969,0.8123266666666645,15,0.0078,32,0.4899568557739258,12.494399999999956,0.832959999999997,15,0.0127,44,0.6704521179199219,13.472599999999998,0.8981733333333332,15,0.0393,100,1.4303319454193115,13.799599999999987,0.9199733333333324,15,0.0703,97,1.443822145462036,13.427000000000008,,15,0.0521,107,1.6387391090393066,13.2602,,15,0.0403,102,1.625807762145996,13.708100000000002,,15,0.0602,152,2.4182348251342773,13.621199999999996,,15,0.0574,214,3.5205390453338623,13.599699999999997,,15,0.0552,263,4.450498819351196,13.684499999999993,,15,0.0503,286,4.835432767868042
12,14,0.4447339650373987,0.4736842105263157,2,15,11.888299999999962,0.7925533333333308,15,0.006,30,0.4702198505401611,12.740899999999984,0.8493933333333322,15,0.0206,55,0.8067989349365234,12.70229999999999,,15,0.0239,62,0.9345269203186036,13.842900000000004,0.9228600000000002,15,0.1035,155,2.2783331871032715,12.660399999999967,,15,0.0229,116,1.852587938308716,13.084599999999991,,15,0.0469,137,2.160775899887085,13.39739999999999,,15,0.0553,201,3.164937973022461,10.061199999999966,,14,0.0037,132,2.551441192626953,13.174799999999989,,15,0.0508,166,2.8819847106933594,13.030899999999985,,15,0.0444,242,4.338766098022461
12,21,0.4668603134119591,0.5263157894736842,4,15,12.15799999999996,0.8105333333333306,15,0.008,30,0.4630341529846191,12.904299999999994,0.8602866666666663,15,0.0245,60,0.878248929977417,13.36589999999999,0.8910599999999993,15,0.0359,75,1.0923240184783936,13.17519999999998,,15,0.0308,120,1.820854663848877,13.17479999999997,,15,0.0315,94,1.4891886711120603,13.483999999999984,0.8989333333333323,15,0.0426,119,1.8682880401611328,13.24629999999997,,15,0.0259,161,2.629423141479492,13.37469999999998,,15,0.0296,205,3.4698970317840576,14.003899999999986,0.9335933333333324,15,0.0781,194,3.2033989429473877,13.637799999999988,,15,0.0449,339,5.830704927444458
12,10,0.4671187571362427,0.4736842105263157,2,15,11.784899999999991,0.7856599999999995,15,0.0075,34,0.5271730422973633,12.465099999999971,0.8310066666666649,15,0.0186,53,0.7875950336456299,12.479800000000004,0.831986666666667,15,0.0187,75,1.1321616172790527,9.58349999999998,,15,0.0049,86,1.4686861038208008,12.247799999999978,,15,0.0177,150,2.4248600006103516,12.871899999999982,0.8581266666666655,15,0.0537,142,2.248345136642456,10.490299999999966,,15,0.0057,123,2.2459089756011963,10.613899999999974,,12,0.0057,240,4.409226179122925,13.692000000000002,0.9128000000000002,15,0.1024,181,3.0319631099700928,12.93989999999998,,15,0.0342,329,5.7884440422058105
12,39,0.4824401595445327,0.4736842105263157,2,15,12.009299999999936,0.8006199999999958,15,0.0083,27,0.4572279453277588,12.478499999999976,0.8318999999999985,15,0.0143,44,0.6643679141998291,12.916099999999972,0.8610733333333316,15,0.0307,55,0.8306171894073486,13.243499999999983,0.8828999999999989,15,0.0362,136,2.03413987159729,13.363999999999988,0.8909333333333326,15,0.0587,125,1.9308409690856936,13.315899999999983,,15,0.0473,114,1.7815649509429932,13.48899999999999,0.899266666666666,15,0.0472,154,2.4519989490509033,12.975599999999964,,15,0.0294,157,2.701215982437134,13.368499999999978,,15,0.0473,199,3.4318289756774902,10.22399999999997,,15,0.0107,212,4.171494960784912
12,80,0.4893680161156357,0.4210526315789473,2,16,12.468999999999962,0.7793124999999976,16,0.011,32,0.5016887187957764,13.25839999999998,0.8286499999999988,16,0.027,56,0.8210229873657227,11.31579999999995,,15,0.0088,80,1.3041691780090332,14.423999999999989,0.9014999999999992,16,0.1172,110,1.6517019271850586,13.751499999999982,,16,0.0419,94,1.4459149837493896,14.017499999999998,,16,0.0617,120,1.8413519859313965,13.93879999999998,,16,0.0627,120,1.94179105758667,13.750899999999994,,16,0.0419,276,4.634742975234985,14.068099999999994,,16,0.0742,200,3.4028379917144775,14.67109999999999,0.9169437499999994,16,0.1419,247,4.267614841461182
