N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Optimal_cut,p1_expected_cut,p1_approx_ratio,p1_most_prob_cut,p1_most_prob_prob,p1_iterations,p1_time,p2_expected_cut,p2_approx_ratio,p2_most_prob_cut,p2_most_prob_prob,p2_iterations,p2_time,p3_expected_cut,p3_approx_ratio,p3_most_prob_cut,p3_most_prob_prob,p3_iterations,p3_time,p4_expected_cut,p4_approx_ratio,p4_most_prob_cut,p4_most_prob_prob,p4_iterations,p4_time,p5_expected_cut,p5_approx_ratio,p5_most_prob_cut,p5_most_prob_prob,p5_iterations,p5_time,p6_expected_cut,p6_approx_ratio,p6_most_prob_cut,p6_most_prob_prob,p6_iterations,p6_time,p7_expected_cut,p7_approx_ratio,p7_most_prob_cut,p7_most_prob_prob,p7_iterations,p7_time,p8_expected_cut,p8_approx_ratio,p8_most_prob_cut,p8_most_prob_prob,p8_iterations,p8_time,p9_expected_cut,p9_approx_ratio,p9_most_prob_cut,p9_most_prob_prob,p9_iterations,p9_time,p10_expected_cut,p10_approx_ratio,p10_most_prob_cut,p10_most_prob_prob,p10_iterations,p10_time
16,744,0.1684317527915055,0.4881215467261081,2,21,16.18499999999991,0.7707142857142815,21,0.0025,29,2.378020763397217,17.879699999999847,0.8514142857142785,21,0.0137,50,4.9805262088775635,18.170699999999883,0.865271428571423,21,0.0174,58,7.038081884384155,18.609399999999912,0.8861619047619006,21,0.0231,80,11.971467971801758,18.104499999999884,,21,0.0159,88,15.143296003341677,18.50049999999988,,21,0.0206,129,25.072192907333378,19.214899999999943,0.9149952380952354,21,0.0533,291,140.0922520160675,19.214899999999943,0.9149952380952354,21,0.0533,105,109.32278609275818,19.086199999999938,,21,0.062,217,147.72504901885986,19.636499999999845,0.9350714285714212,21,0.0993,225,3220.0452122688293
16,1962,0.2068431975404738,0.4780509135784528,2,21,16.31609999999984,0.7769571428571351,21,0.0027,27,1.645477056503296,17.82729999999982,0.848919047619039,21,0.0116,51,4.40516209602356,18.548099999999852,0.8832428571428501,21,0.0262,60,7.187923908233643,18.527999999999885,,21,0.0217,86,12.598662853240969,19.04699999999985,0.9069999999999928,21,0.0486,127,21.90072011947632,19.425099999999937,0.9250047619047588,21,0.0642,129,26.117262840270996,19.151199999999907,,21,0.0456,187,578.5801630020142,19.278599999999894,,21,0.0633,165,1188.13419008255,19.65539999999989,0.9359714285714232,21,0.1009,157,1097.2453649044037,19.87369999999997,0.9463666666666652,21,0.1222,238,1708.1204149723053
16,793,0.208431013795213,0.4625938360101205,2,21,16.147899999999876,0.7689476190476131,20,0.0019,32,2.615446090698242,17.281499999999856,0.8229285714285646,21,0.0103,51,5.185736894607544,18.729999999999855,0.891904761904755,21,0.0404,75,9.278400897979736,19.310999999999943,0.9195714285714258,21,0.0925,94,14.745398998260498,19.80339999999997,0.9430190476190464,21,0.1115,99,18.07963800430298,18.66039999999987,,21,0.0473,109,22.976850986480713,18.595699999999898,,21,0.0314,168,107.42395877838136,19.36959999999992,,21,0.0689,223,161.62036395072937,18.84039999999989,,21,0.0412,249,202.27411103248596,18.755599999999887,,21,0.0384,186,3171.9204449653625
16,795,0.223968979936922,0.4647000581705875,2,21,16.32189999999986,0.7772333333333267,20,0.0023,29,1.611840009689331,17.67159999999981,0.8415047619047529,21,0.0105,64,5.365280866622925,18.53749999999992,0.8827380952380914,21,0.0273,58,7.0354838371276855,18.93099999999991,0.901476190476186,21,0.0435,85,12.451290845870972,19.479799999999923,0.92760952380952,21,0.0763,154,30.426869869232178,19.421799999999937,,21,0.0737,137,485.3970980644226,19.200299999999977,,21,0.0597,99,86.35143995285034,19.479299999999935,,21,0.0833,148,1188.5781099796295,19.299299999999928,,21,0.0609,281,1573.5236480236051,19.75149999999998,0.940547619047618,21,0.1006,295,1234.055892944336
16,572,0.2289720099965535,0.4775563647767879,2,21,16.295499999999873,0.7759761904761844,20,0.0025,36,2.8614790439605713,17.906499999999845,0.8526904761904688,21,0.0136,54,5.344910144805908,18.531899999999876,0.8824714285714227,21,0.0213,109,12.64301371574402,18.54829999999988,0.8832523809523752,21,0.0218,63,9.122841835021973,19.09739999999993,0.9093999999999968,21,0.0385,141,23.981539011001587,18.880499999999905,,21,0.031,87,17.125324964523315,19.1237999999999,0.910657142857138,21,0.0375,167,106.36211609840392,19.18379999999991,0.9135142857142814,21,0.0412,174,191.85914301872253,18.80179999999989,,21,0.0328,205,154.4181399345398,19.705099999999913,0.9383380952380912,21,0.0915,411,3253.4866909980774
16,1915,0.2386352850810791,0.4805000036043251,2,21,16.297299999999893,0.7760619047618997,21,0.0021,31,2.4030652046203613,17.752199999999846,0.8453428571428498,21,0.011,47,5.716722249984741,18.120499999999826,0.8628809523809439,21,0.0191,52,8.367117166519165,18.707799999999917,0.8908476190476151,21,0.0261,112,469.0441837310791,18.096999999999856,,21,0.0151,91,16.42512607574463,18.78159999999993,0.8943619047619015,21,0.0286,102,22.25572609901428,19.13949999999994,0.9114047619047592,21,0.0435,151,102.83089804649352,19.14289999999989,0.9115666666666614,21,0.047,131,2123.1998550891876,19.474199999999875,0.9273428571428513,21,0.0786,188,656.3683750629425,19.487499999999937,0.9279761904761876,21,0.0804,131,2219.221503019333
16,794,0.2405646741181861,0.472412873177527,2,21,16.31629999999993,0.7769666666666634,21,0.0029,36,2.8268277645111084,17.910399999999832,0.8528761904761825,21,0.0141,46,4.76359486579895,18.39909999999988,0.8761476190476133,21,0.02,78,10.060111045837402,18.81109999999991,0.8957666666666624,21,0.0311,84,13.02292799949646,19.15269999999992,0.9120333333333294,21,0.0466,129,23.19403290748596,19.09969999999993,,21,0.0438,145,30.241422176361084,18.846899999999877,,21,0.0303,125,104.16749691963196,19.16589999999989,0.9126619047618996,21,0.043,166,139.15445613861084,19.838999999999935,0.9447142857142826,21,0.1215,218,180.503968000412,19.84089999999998,0.9448047619047608,21,0.1215,137,3217.968743085861
16,562,0.2457573260324839,0.4865237179208958,2,21,16.189399999999907,0.7709238095238051,20,0.0022,33,1.7583730220794678,17.91569999999988,0.8531285714285657,21,0.0158,48,3.9191932678222656,18.192399999999868,0.8663047619047556,21,0.0169,64,6.875104188919067,18.381799999999853,0.8753238095238025,21,0.0192,70,10.093156814575195,19.128499999999924,0.9108809523809488,21,0.0481,88,16.912344217300415,19.224999999999923,0.9154761904761868,21,0.0471,87,22.03722333908081,18.949699999999932,,21,0.0342,236,570.2317850589752,19.216599999999943,,21,0.0491,149,1193.751070022583,19.401799999999906,0.9238952380952334,21,0.0587,197,1087.1644458770752,19.354699999999916,,21,0.0564,159,1730.4221546649933
16,1963,0.2464401649951568,0.4707279289409853,2,21,16.449599999999883,0.7833142857142802,21,0.0024,30,2.546142816543579,18.065499999999844,0.8602619047618973,21,0.0123,50,5.234782934188843,18.238799999999845,0.8685142857142784,21,0.0125,64,8.147305011749268,18.455999999999857,0.8788571428571359,21,0.0158,68,10.650453805923462,18.33709999999987,,21,0.0153,92,16.370994091033936,19.113299999999917,0.9101571428571388,21,0.0398,192,37.87136912345886,19.030799999999903,,21,0.0297,187,133.7065110206604,19.45619999999991,0.92648571428571,21,0.0692,220,136.53431868553162,19.617099999999915,0.934147619047615,21,0.0744,146,145.30880784988403,19.63839999999993,0.9351619047619014,21,0.0769,143,2151.30450296402
16,2746,0.251273960764431,0.4595948579364863,2,21,16.32299999999984,0.7772857142857067,20,0.0024,30,1.8213071823120115,17.78759999999985,0.8470285714285642,21,0.0116,50,4.3020758628845215,18.24619999999987,0.8688666666666607,21,0.0184,68,7.780744791030884,18.736199999999883,0.8921999999999944,21,0.0309,89,12.902715921401978,18.080899999999883,,21,0.0167,75,13.073163032531738,18.280799999999847,,21,0.0202,114,1014.4868810176848,19.066999999999947,0.9079523809523784,21,0.0557,196,585.0941324234009,19.39659999999991,0.9236476190476148,21,0.0687,228,144.56411218643188,19.23589999999991,,21,0.0672,200,2209.26085114479,19.192899999999923,,21,0.0552,235,1680.1172969341278
16,3778,0.2630266285286833,0.4692343628089905,2,21,16.61979999999984,0.79141904761904,21,0.0029,33,3.014389991760254,18.084699999999845,0.8611761904761831,21,0.01,45,4.658827066421509,18.385499999999844,0.8754999999999926,21,0.0155,53,6.949925184249878,18.68799999999988,0.8899047619047561,21,0.0195,77,12.706548929214478,18.962699999999874,0.9029857142857084,21,0.0331,92,17.471374034881592,18.913499999999917,,21,0.028,130,27.88386392593384,19.275499999999926,0.9178809523809488,21,0.0384,159,132.824147939682,19.275499999999926,0.9178809523809488,21,0.0384,107,142.37817335128784,19.275499999999926,0.9178809523809488,21,0.0384,119,134.64738488197327,19.64349999999991,0.9354047619047576,21,0.0593,222,2194.5211720466614
16,2147,0.2691128507947748,0.4647719111162763,2,21,16.463799999999903,0.7839904761904716,20,0.0027,31,2.000469923019409,17.995799999999843,0.8569428571428497,21,0.0128,49,4.254330158233643,18.117399999999876,0.8627333333333274,21,0.0152,55,6.421516180038452,18.69209999999986,0.8900999999999935,21,0.023,71,1001.086009979248,18.251899999999853,,21,0.0196,125,22.84854507446289,18.027999999999867,,21,0.0196,82,17.31309199333191,19.128299999999907,0.910871428571424,21,0.0397,139,585.0092651844025,19.118099999999927,,21,0.0366,121,1192.3795750141144,19.122399999999935,,21,0.0378,146,1093.5277507305143,19.03979999999991,,21,0.0364,163,649.6566278934479
16,3963,0.2757052106780566,0.4708218858296278,2,21,16.650899999999865,0.7928999999999936,20,0.0031,31,2.8558108806610107,18.097699999999858,0.8617952380952312,21,0.0136,46,4.7722649574279785,18.946699999999858,0.9022238095238028,21,0.0279,92,11.827484846115112,19.5218999999999,0.929614285714281,21,0.0582,73,11.869716882705688,19.141299999999937,,21,0.0473,95,18.368080854415897,19.18509999999991,,21,0.0416,136,30.313688039779663,18.978399999999837,,21,0.0344,118,105.2498230934143,19.280799999999925,,21,0.0348,231,175.0064868927002,19.280799999999925,,21,0.0348,113,176.72938299179077,19.57929999999991,0.9323476190476148,21,0.0551,152,3222.487101316452
16,720,0.2760860666096505,0.4744724941813449,2,21,16.294699999999914,0.7759380952380911,20,0.0023,29,2.0609920024871826,17.828299999999853,0.8489666666666597,21,0.0139,46,4.623511791229248,18.512099999999865,0.881528571428565,21,0.0265,62,8.254610300064087,18.881899999999906,0.8991380952380906,21,0.0368,71,13.349186182022097,18.132099999999845,,21,0.0152,95,470.2835478782654,18.75099999999992,,21,0.0326,154,32.83705282211304,19.11409999999992,0.9101952380952344,21,0.0458,222,120.67240118980408,19.44829999999992,0.92610952380952,21,0.0769,160,2138.520621061325,19.712999999999955,0.9387142857142836,21,0.0941,219,666.8316979408264,19.710299999999933,,21,0.094,130,2218.673240184784
16,1984,0.2823429969179329,0.466808431590728,2,21,16.463599999999854,0.7839809523809455,21,0.0026,27,2.262911319732666,17.83789999999981,0.8494238095238005,21,0.0101,46,5.110504865646362,18.12299999999982,0.8629999999999914,21,0.0134,66,8.657724142074585,18.30109999999983,0.8714809523809444,21,0.0153,85,13.658236026763916,18.90559999999989,0.9002666666666614,21,0.0336,88,16.33067512512207,18.81239999999991,,21,0.0369,86,17.93263816833496,19.52689999999991,0.9298523809523768,21,0.0769,242,116.89868903160097,19.593799999999924,0.9330380952380916,21,0.0813,219,176.18754887580872,19.722799999999943,0.9391809523809496,21,0.1128,233,192.54577207565308,19.722799999999943,0.9391809523809496,21,0.1128,130,3211.1292340755463
16,635,0.2921624289824827,0.5175701437040457,2,21,16.009899999999934,0.7623761904761873,20,0.0022,28,2.021467924118042,17.561499999999864,0.8362619047618983,21,0.0139,45,4.006328105926514,18.31549999999993,0.8721666666666631,21,0.033,67,8.266235113143921,17.466299999999915,,21,0.0097,91,16.723347902297974,17.875099999999897,,21,0.0142,98,469.4011099338531,18.8695999999999,0.8985523809523761,21,0.0376,119,23.963897943496704,19.565399999999944,0.9316857142857116,21,0.0737,131,113.36472606658936,19.655499999999964,0.9359761904761889,21,0.0879,120,2123.063555955887,19.714499999999965,0.9387857142857128,21,0.089,176,629.6257879734039,19.790199999999977,0.9423904761904752,21,0.1194,180,2325.3801589012146
16,1622,0.2955198321163195,0.4615267383720668,2,21,16.46909999999985,0.7842428571428501,21,0.0024,29,2.756650924682617,17.99959999999984,0.857123809523802,21,0.0116,54,5.544248104095459,18.8975999999999,0.8998857142857096,21,0.033,67,8.610814809799194,19.458699999999936,0.9266047619047588,21,0.0731,90,14.277146100997925,19.795299999999965,0.9426333333333315,21,0.0903,97,17.65864610671997,20.041899999999934,0.9543761904761876,21,0.1261,132,27.026936054229736,19.994399999999963,,21,0.1304,167,115.67147994041444,19.899799999999978,,21,0.113,132,134.19687128067017,18.941499999999895,,21,0.0425,247,204.511745929718,19.116899999999895,,21,0.0392,249,3260.5233368873596
16,2306,0.3028372849798764,0.4616262186269702,2,21,16.460899999999864,0.7838523809523744,20,0.0027,30,2.3155460357666016,17.836999999999854,0.8493809523809455,21,0.0113,38,4.409369230270386,18.255399999999884,0.8693047619047564,21,0.0178,73,460.3938438892365,18.260099999999888,0.8695285714285661,21,0.0178,60,9.85544204711914,18.96299999999992,0.902999999999996,21,0.0351,96,18.461846828460693,18.786499999999883,,21,0.0325,120,26.751137018203735,19.46769999999994,0.9270333333333304,21,0.067,271,1199.0765709877014,19.224199999999932,,21,0.0454,148,1083.9818420410156,19.65039999999993,0.93573333333333,21,0.0748,239,654.5653538703918,19.82199999999996,0.94390476190476,21,0.09,161,2236.823091983795
16,2151,0.3037344398495811,0.4603904472443226,2,21,16.502699999999848,0.78584285714285,21,0.0036,31,2.876450777053833,17.862599999999844,0.8505999999999926,21,0.0126,49,5.35041880607605,18.213299999999897,0.867299999999995,21,0.0163,66,8.884543895721436,18.29079999999987,0.87099047619047,21,0.017,61,10.120272874832152,18.971599999999945,0.903409523809521,21,0.0377,88,16.334174871444702,18.57389999999986,,21,0.0234,109,22.338006019592285,18.6959999999999,,21,0.0267,188,135.61340594291687,19.14989999999987,0.9118999999999938,21,0.0549,232,148.6561279296875,19.705599999999933,0.9383619047619016,21,0.0909,232,179.60605216026306,19.126799999999932,,21,0.0504,228,3212.981204032898
16,1601,0.3051332930910675,0.4543047531492407,2,21,16.356999999999832,0.7789047619047539,20,0.0024,31,1.9917612075805664,17.874399999999852,0.8511619047618977,21,0.0135,43,3.799381971359253,18.24459999999987,0.86879047619047,21,0.0186,67,8.441060066223145,18.853799999999858,0.897799999999993,21,0.041,129,22.986841917037964,19.010899999999904,0.9052809523809476,21,0.0498,107,473.6315908432007,19.092399999999927,0.9091619047619012,21,0.0525,89,20.29031491279602,19.608599999999957,0.9337428571428552,21,0.095,109,108.62369108200072,19.63349999999995,0.9349285714285692,21,0.1036,161,1193.9742109775543,19.732299999999928,0.93963333333333,21,0.1124,138,1578.224240064621,19.65939999999993,,21,0.1066,180,2262.598446130753
16,3683,0.3152175957190142,0.4744196033319634,2,21,16.65229999999986,0.79296666666666,21,0.0028,36,2.9885177612304688,18.289299999999873,0.8709190476190416,21,0.012,49,5.081890106201172,18.46329999999982,0.8792047619047533,21,0.0143,53,6.96773099899292,18.68389999999986,0.8897095238095171,21,0.0192,77,12.629141092300417,18.885499999999887,0.8993095238095185,21,0.0178,98,18.64086604118347,18.27949999999985,,21,0.012,113,24.438692092895508,19.536899999999935,0.9303285714285684,21,0.0511,156,101.12570190429688,19.53729999999992,0.9303476190476152,21,0.0511,104,109.2087059020996,19.785099999999957,0.942147619047617,21,0.0678,239,178.27143502235413,19.856699999999947,0.9455571428571404,21,0.0649,234,2205.70604801178
16,1487,0.3215572524501446,0.4554250762381914,2,21,16.32559999999989,0.7774095238095187,21,0.0021,33,1.9363908767700195,17.904499999999874,0.8525952380952321,21,0.0129,46,4.220775842666626,18.28179999999985,0.8705619047618977,21,0.018,78,9.014801740646362,18.793899999999883,0.8949476190476136,21,0.0309,83,1002.1172280311584,18.379499999999908,,21,0.0208,101,19.28125500679016,18.37109999999986,,21,0.0224,95,21.270753145217896,19.585099999999947,0.932623809523807,21,0.0902,195,594.4120588302612,19.625899999999938,0.9345666666666635,21,0.0905,185,1211.3359949588776,19.228099999999863,,21,0.0476,237,1575.583568096161,19.26779999999988,,21,0.0603,156,1264.6706569194794
16,849,0.3360497252632033,0.4627607818989224,2,20,16.124399999999948,0.8062199999999974,21,0.0023,28,2.278726100921631,17.63349999999985,0.8816749999999924,21,0.0128,37,3.940835952758789,18.066799999999905,0.9033399999999951,21,0.0196,54,7.287390947341919,18.11099999999985,0.9055499999999924,21,0.0191,64,10.640828132629396,18.88759999999988,0.944379999999994,21,0.0408,99,18.37065291404724,18.884699999999945,,21,0.0461,121,25.06593108177185,18.43319999999988,,21,0.025,137,105.30201864242554,19.05669999999991,0.9528349999999955,21,0.0508,230,144.0650670528412,19.109399999999887,0.9554699999999944,21,0.0515,215,175.40272998809814,18.822399999999845,,21,0.0402,409,3283.0266168117523
16,810,0.3374832200588962,0.4974680379456935,2,21,16.17479999999988,0.7702285714285657,20,0.0023,33,2.2942469120025635,17.753199999999797,0.8453904761904665,21,0.0149,52,5.722461938858032,18.21689999999985,0.8674714285714215,21,0.0219,67,10.348995923995972,18.412899999999876,0.876804761904756,21,0.0242,95,465.932343006134,19.02519999999993,0.9059619047619014,21,0.046,96,17.110913038253784,18.759499999999857,,21,0.0362,131,28.07996702194214,19.435699999999898,0.9255095238095188,21,0.0831,140,83.0824019908905,19.51579999999995,0.9293238095238072,21,0.0815,135,1183.159395694733,19.36349999999993,,21,0.0722,181,1560.870018005371,19.166099999999908,,21,0.0454,274,2307.7299268245697
16,1513,0.3400046060112629,0.4578652790400119,2,21,16.482699999999827,0.7848904761904679,21,0.0025,31,2.7733190059661865,17.917699999999787,0.8532238095237994,21,0.0104,52,5.235122919082642,18.269799999999854,0.8699904761904692,21,0.0154,52,6.683495044708252,18.28209999999985,0.8705761904761834,21,0.0155,64,10.42875599861145,19.053399999999943,0.9073047619047592,21,0.0374,77,13.962565898895264,18.903399999999884,,21,0.0353,121,25.159022092819217,19.360699999999923,0.9219380952380916,21,0.0612,148,114.61800694465636,19.521299999999925,0.9295857142857108,21,0.0712,151,128.7425820827484,19.573099999999936,0.932052380952378,21,0.0819,182,186.42752480506897,19.62989999999992,0.934757142857139,21,0.0841,149,3189.0601048469543
16,1434,0.3454087408763087,0.4659393182680416,2,21,16.432799999999858,0.782514285714279,21,0.0026,30,2.052037239074707,18.081799999999813,0.8610380952380863,21,0.012,50,4.2978198528289795,18.297799999999807,0.8713238095238003,21,0.0154,53,6.531341075897217,18.85209999999991,0.8977190476190434,21,0.0267,74,10.72227907180786,18.116899999999873,,21,0.0128,92,16.604536056518555,18.15929999999983,,21,0.0113,97,20.390263080596924,18.66229999999985,,21,0.0211,142,545.5917119979858,19.0701999999999,0.9081047619047572,21,0.0303,209,133.63513708114624,19.238699999999906,0.9161285714285669,21,0.0388,198,2184.146865129471,18.934199999999876,,21,0.0278,223,1692.5200531482697
