N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Max_cut_value,Edges
12,18,0.35665686602814883,0.5092130376467178,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (9, 11), (10, 11)]"
12,6,0.37466274507593766,0.5034030125955246,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 5), (4, 6), (5, 7), (6, 8), (6, 9), (7, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,45,0.4307376733331818,0.49900356291786513,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 9), (6, 9), (7, 10), (8, 10), (8, 11), (9, 11), (10, 11)]"
12,14,0.43521612653313024,0.4966497876700124,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,10,0.4662412252266481,0.4804439376886066,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 8), (6, 7), (7, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,39,0.47414173847659313,0.49578994576592833,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 10), (7, 11), (8, 9), (9, 11), (10, 11)]"
12,80,0.4864603499171478,0.4323320634333743,2,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 9), (5, 7), (5, 10), (6, 7), (6, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,52,0.4928885256865394,0.48947495656900414,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 9), (7, 8), (7, 11), (8, 11), (9, 10), (10, 11)]"
12,1,0.49455863639006026,0.4951262842174014,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 4), (4, 5), (5, 6), (5, 7), (6, 7), (6, 8), (7, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,13,0.5255493324817069,0.4239952280523734,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,57,0.5289945971236563,0.4233018369040872,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 11), (7, 9), (7, 10), (8, 9), (8, 11), (10, 11)]"
12,30,0.5589960451304421,0.42284692086976466,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,40,0.5645657324071047,0.42712712443903256,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 10), (7, 11), (8, 11), (9, 10), (9, 11)]"
12,2,0.5693422056372741,0.4212650908227506,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 4), (4, 5), (5, 6), (5, 7), (6, 8), (6, 9), (7, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,22,0.6379936708414133,0.405250588982691,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 10), (7, 11), (8, 11), (9, 10), (9, 11)]"
12,64,0.6546979721060087,0.34276253786007155,2,18,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 6), (5, 7), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,54,0.6858164696495841,0.40424071484720536,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 11)]"
12,76,0.6929388168141175,0.44426598216246427,2,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 7), (5, 6), (5, 9), (6, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,34,0.7007115869661202,0.4003602782551422,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (9, 11), (10, 11)]"
12,23,0.7292313521626443,0.40380113078871377,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 5), (4, 6), (5, 7), (6, 8), (6, 9), (7, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,58,0.7340304637079509,0.4011537670342563,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 11), (7, 9), (7, 11), (8, 10), (8, 11), (9, 10)]"
12,84,0.7363479514022009,0.40634956635110764,2,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (3, 9), (4, 6), (4, 8), (5, 7), (5, 9), (6, 10), (7, 11), (8, 11), (9, 10), (10, 11)]"
12,28,0.7364305689712154,0.39927622900745,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,12,0.7436697972207416,0.39783113940123344,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 9), (7, 10), (8, 10), (8, 11), (9, 11), (10, 11)]"
12,53,0.7562159930414145,0.3996710997781949,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 9), (7, 9), (7, 11), (8, 10), (8, 11), (10, 11)]"
12,17,0.7742873632830456,0.4062211875079777,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,9,0.8590235174816874,0.38864944385559314,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 8), (7, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,66,0.8611691123742418,0.32411615815415806,2,18,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 5), (3, 6), (3, 7), (4, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 10), (8, 11), (9, 11), (10, 11)]"
